game_link,game_date,game_id,tournament_name,tournament_country,tournament_name_season,tournament_season,tournament_round,hometeam_name,awayteam_name,hometeam_country,awayteam_country,periods_of_match,homescore_ht,awayscore_ht,homescore_ft,awayscore_ft,total_goals_ht,total_goals_ft,extra_time,penalties,incident_type_card,incident_type_goal,incident_type_substitution,incident_type_period,incidents,home_formation,away_formation,home_players_list,away_players_list,home_manager_name,home_manager_slug,home_manager_id,away_manager_name,away_manager_slug,away_manager_id,referee_name,referee_yellow_cards,referee_redCards,referee_yellowRedCards,referee_games,referee_id,referee_country,city_game_took_place,stadium_game_took_place,stadium_id_game_took_place,country_game_took_place,all_home_ball_possession,all_away_ball_possession,all_home_expected_goals,all_away_expected_goals,all_home_big_chances,all_away_big_chances,all_home_total_shots,all_away_total_shots,all_home_goalkeeper_saves,all_away_goalkeeper_saves,all_home_corner_kicks,all_away_corner_kicks,all_home_fouls,all_away_fouls,all_home_passes,all_away_passes,all_home_tackles,all_away_tackles,all_home_free_kicks,all_away_free_kicks,all_home_yellow_cards,all_away_yellow_cards,all_home_shots_on_target,all_away_shots_on_target,all_home_hit_woodwork,all_away_hit_woodwork,all_home_shots_off_target,all_away_shots_off_target,all_home_blocked_shots,all_away_blocked_shots,all_home_shots_inside_box,all_away_shots_inside_box,all_home_shots_outside_box,all_away_shots_outside_box,all_home_big_chances_scored,all_away_big_chances_scored,all_home_big_chances_missed,all_away_big_chances_missed,all_home_through_balls,all_away_through_balls,all_home_fouled_in_final_third,all_away_fouled_in_final_third,all_home_offsides,all_away_offsides,all_home_accurate_passes,all_away_accurate_passes,all_home_throw_ins,all_away_throw_ins,all_home_final_third_entries,all_away_final_third_entries,all_home_long_balls,all_away_long_balls,all_home_crosses,all_away_crosses,all_home_duels,all_away_duels,all_home_dispossessed,all_away_dispossessed,all_home_ground_duels,all_away_ground_duels,all_home_aerial_duels,all_away_aerial_duels,all_home_dribbles,all_away_dribbles,all_home_tackles_won,all_away_tackles_won,all_home_total_tackles,all_away_total_tackles,all_home_interceptions,all_away_interceptions,all_home_recoveries,all_away_recoveries,all_home_clearances,all_away_clearances,all_home_total_saves,all_away_total_saves,all_home_goals_prevented,all_away_goals_prevented,all_home_goal_kicks,all_away_goal_kicks,first_half_home_ball_possession,first_half_away_ball_possession,first_half_home_expected_goals,first_half_away_expected_goals,first_half_home_big_chances,first_half_away_big_chances,first_half_home_total_shots,first_half_away_total_shots,first_half_home_goalkeeper_saves,first_half_away_goalkeeper_saves,first_half_home_corner_kicks,first_half_away_corner_kicks,first_half_home_fouls,first_half_away_fouls,first_half_home_passes,first_half_away_passes,first_half_home_tackles,first_half_away_tackles,first_half_home_free_kicks,first_half_away_free_kicks,first_half_home_yellow_cards,first_half_away_yellow_cards,first_half_home_shots_on_target,first_half_away_shots_on_target,first_half_home_hit_woodwork,first_half_away_hit_woodwork,first_half_home_shots_off_target,first_half_away_shots_off_target,first_half_home_blocked_shots,first_half_away_blocked_shots,first_half_home_shots_inside_box,first_half_away_shots_inside_box,first_half_home_shots_outside_box,first_half_away_shots_outside_box,first_half_home_big_chances_scored,first_half_away_big_chances_scored,first_half_home_big_chances_missed,first_half_away_big_chances_missed,first_half_home_through_balls,first_half_away_through_balls,first_half_home_fouled_in_final_third,first_half_away_fouled_in_final_third,first_half_home_offsides,first_half_away_offsides,first_half_home_accurate_passes,first_half_away_accurate_passes,first_half_home_throw_ins,first_half_away_throw_ins,first_half_home_final_third_entries,first_half_away_final_third_entries,first_half_home_long_balls,first_half_away_long_balls,first_half_home_crosses,first_half_away_crosses,first_half_home_duels,first_half_away_duels,first_half_home_dispossessed,first_half_away_dispossessed,first_half_home_ground_duels,first_half_away_ground_duels,first_half_home_aerial_duels,first_half_away_aerial_duels,first_half_home_dribbles,first_half_away_dribbles,first_half_home_tackles_won,first_half_away_tackles_won,first_half_home_total_tackles,first_half_away_total_tackles,first_half_home_interceptions,first_half_away_interceptions,first_half_home_recoveries,first_half_away_recoveries,first_half_home_clearances,first_half_away_clearances,first_half_home_total_saves,first_half_away_total_saves,first_half_home_goals_prevented,first_half_away_goals_prevented,first_half_home_goal_kicks,first_half_away_goal_kicks,second_half_home_ball_possession,second_half_away_ball_possession,second_half_home_expected_goals,second_half_away_expected_goals,second_half_home_big_chances,second_half_away_big_chances,second_half_home_total_shots,second_half_away_total_shots,second_half_home_goalkeeper_saves,second_half_away_goalkeeper_saves,second_half_home_corner_kicks,second_half_away_corner_kicks,second_half_home_fouls,second_half_away_fouls,second_half_home_passes,second_half_away_passes,second_half_home_tackles,second_half_away_tackles,second_half_home_free_kicks,second_half_away_free_kicks,second_half_home_yellow_cards,second_half_away_yellow_cards,second_half_home_shots_on_target,second_half_away_shots_on_target,second_half_home_hit_woodwork,second_half_away_hit_woodwork,second_half_home_shots_off_target,second_half_away_shots_off_target,second_half_home_blocked_shots,second_half_away_blocked_shots,second_half_home_shots_inside_box,second_half_away_shots_inside_box,second_half_home_shots_outside_box,second_half_away_shots_outside_box,second_half_home_big_chances_scored,second_half_away_big_chances_scored,second_half_home_big_chances_missed,second_half_away_big_chances_missed,second_half_home_through_balls,second_half_away_through_balls,second_half_home_fouled_in_final_third,second_half_away_fouled_in_final_third,second_half_home_offsides,second_half_away_offsides,second_half_home_accurate_passes,second_half_away_accurate_passes,second_half_home_throw_ins,second_half_away_throw_ins,second_half_home_final_third_entries,second_half_away_final_third_entries,second_half_home_long_balls,second_half_away_long_balls,second_half_home_crosses,second_half_away_crosses,second_half_home_duels,second_half_away_duels,second_half_home_dispossessed,second_half_away_dispossessed,second_half_home_ground_duels,second_half_away_ground_duels,second_half_home_aerial_duels,second_half_away_aerial_duels,second_half_home_dribbles,second_half_away_dribbles,second_half_home_tackles_won,second_half_away_tackles_won,second_half_home_total_tackles,second_half_away_total_tackles,second_half_home_interceptions,second_half_away_interceptions,second_half_home_recoveries,second_half_away_recoveries,second_half_home_clearances,second_half_away_clearances,second_half_home_total_saves,second_half_away_total_saves,second_half_home_goals_prevented,second_half_away_goals_prevented,second_half_home_goal_kicks,second_half_away_goal_kicks,home_starting_eleven,away_starting_eleven,hometeam_avgRating,hometeam_position,hometeam_value,hometeam_eam_form,awayTeam_avgRating,awayTeam_position,awayTeam_value,awayTeam_form
https://www.sofascore.com/queen-of-the-south-dundee-united/ZWstX#id:8259137,2020-04-03,8259137,Championship,Scotland,Championship 19/20,19/20,32,Dundee United,Queen of The South,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,59,"['D', 'W', 'L', 'D', 'D']",,9.0,28,"['L', 'L', 'D', 'D', 'L']"
https://www.sofascore.com/livingston-kilmarnock/XWsgX#id:8259085,2020-04-04,8259085,Premiership,Scotland,Premiership 19/20,19/20,33,Kilmarnock,Livingston,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,Kilmarnock,Rugby Park,1996.0,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74,8.0,33,"['W', 'L', 'L', 'D', 'L']",6.84,5.0,39,"['W', 'L', 'D', 'D', 'L']"
https://www.sofascore.com/rangers-motherwell/WWsbX#id:8259063,2020-04-04,8259063,Premiership,Scotland,Premiership 19/20,19/20,33,Rangers,Motherwell,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,Glasgow,Ibrox,909.0,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12,2.0,67,"['L', 'W', 'D', 'L', 'W']",6.78,3.0,46,"['L', 'D', 'L', 'W', 'D']"
https://www.sofascore.com/ross-county-st-mirren/jXspX#id:8259083,2020-04-04,8259083,Premiership,Scotland,Premiership 19/20,19/20,33,Ross County,St. Mirren,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,Dingwall,Global Energy Stadium,3369.0,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,10.0,29,"['L', 'D', 'W', 'L', 'L']",6.77,9.0,29,"['L', 'W', 'D', 'L', 'W']"
https://www.sofascore.com/hamilton-academical-st-johnstone/YWsBX#id:8259082,2020-04-04,8259082,Premiership,Scotland,Premiership 19/20,19/20,33,St. Johnstone,Hamilton Academical,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,Perth,McDiarmid Park,1997.0,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,7.0,36,"['W', 'D', 'D', 'D', 'W']",6.66,11.0,27,"['L', 'D', 'D', 'W', 'W']"
https://www.sofascore.com/aberdeen-heart-of-midlothian/dXsfX#id:8259107,2020-04-04,8259107,Premiership,Scotland,Premiership 19/20,19/20,33,Aberdeen,Heart of Midlothian,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,Aberdeen,Pittodrie Stadium,935.0,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83,4.0,45,"['W', 'L', 'L', 'D', 'W']",6.70,12.0,23,"['L', 'D', 'W', 'D', 'L']"
https://www.sofascore.com/hibernian-celtic/cXseX#id:8259124,2020-04-05,8259124,Premiership,Scotland,Premiership 19/20,19/20,33,Hibernian,Celtic,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,Edinburgh,Easter Road,1994.0,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.87,6.0,37,"['W', 'W', 'D', 'L', 'L']",7.12,1.0,80,"['W', 'W', 'W', 'D', 'W']"
https://www.sofascore.com/alloa-athletic-dundee-fc/hXsuX#id:8259168,2020-04-04,8259168,Championship,Scotland,Championship 19/20,19/20,32,Alloa Athletic,Dundee FC,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,31,"['D', 'D', 'L', 'D', 'W']",,3.0,41,"['W', 'W', 'D', 'D', 'W']"
https://www.sofascore.com/ayr-united-dunfermline-athletic/aXsoX#id:8259151,2020-04-04,8259151,Championship,Scotland,Championship 19/20,19/20,32,Ayr United,Dunfermline Athletic,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,40,"['L', 'W', 'D', 'D', 'L']",,5.0,37,"['L', 'W', 'D', 'D', 'D']"
https://www.sofascore.com/greenock-morton-inverness-caledonian-thistle/mXszX#id:8259209,2020-04-04,8259209,Championship,Scotland,Championship 19/20,19/20,32,Greenock Morton,Inverness Caledonian Thistle,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,36,"['D', 'W', 'W', 'L', 'D']",,2.0,45,"['L', 'W', 'W', 'L', 'W']"
https://www.sofascore.com/arbroath-partick-thistle/iXsqX#id:8259219,2020-04-04,8259219,Championship,Scotland,Championship 19/20,19/20,32,Partick Thistle,Arbroath,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,26,"['D', 'L', 'D', 'D', 'D']",,6.0,36,"['W', 'W', 'W', 'D', 'D']"
https://www.sofascore.com/forfar-athletic-clyde-fc/kXsAX#id:8259194,2020-04-04,8259194,League One,Scotland,League One 19/20,19/20,32,Clyde FC,Forfar Athletic,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,34,"['L', 'L', 'W', 'W', 'W']",,9.0,24,"['D', 'D', 'L', 'L', 'L']"
https://www.sofascore.com/peterhead-dumbarton/CXsKX#id:8259182,2020-04-04,8259182,League One,Scotland,League One 19/20,19/20,32,Dumbarton,Peterhead,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,38,"['L', 'W', 'W', 'W', 'L']",,8.0,26,"['L', 'L', 'L', 'D', 'L']"
https://www.sofascore.com/montrose-raith-rovers/lXsLX#id:8259245,2020-04-04,8259245,League One,Scotland,League One 19/20,19/20,32,Montrose,Raith Rovers,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,47,"['L', 'W', 'L', 'W', 'W']",,1.0,53,"['D', 'W', 'L', 'D', 'W']"
https://www.sofascore.com/east-fife-stranraer/wXsHX#id:8259253,2020-04-04,8259253,League One,Scotland,League One 19/20,19/20,32,Stranraer,East Fife,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,16,"['D', 'D', 'L', 'L', 'L']",,5.0,45,"['W', 'L', 'W', 'W', 'L']"
https://www.sofascore.com/airdrieonians-falkirk-fc/nXsrX#id:8259158,2020-04-04,8259158,League One,Scotland,League One 19/20,19/20,32,Falkirk FC,Airdrieonians,Scotland,Scotland,[],,,,,,,False,False,[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,52,"['W', 'W', 'L', 'D', 'W']",,3.0,48,"['D', 'W', 'W', 'L', 'W']"
