Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA
2024-08-03,12:30,Hearts,Rangers,0,0,D,0,0,D,N Walsh,17,7,3,3,14,11,8,7,3,1,0,0,5.0,4.33,1.57,5.0,4.2,1.6
2024-08-03,15:00,Motherwell,Ross County,0,0,D,0,0,D,J Beaton,11,13,6,3,5,13,9,3,0,2,0,0,1.85,3.6,4.1,1.93,3.6,3.6
2024-08-04,13:30,Dundee United,Dundee,2,2,D,2,1,H,D Dickinson,9,10,5,6,7,6,5,6,2,0,0,0,2.38,3.25,3.0,2.3,3.4,2.85
2024-08-04,15:00,St Mirren,Hibernian,3,0,H,0,0,D,M MacDermid,11,14,3,1,9,0,4,8,3,1,0,0,2.45,3.3,2.8,2.37,3.3,2.85
2024-08-04,16:30,Celtic,Kilmarnock,4,0,H,2,0,H,D Robertson,20,4,10,2,7,12,10,1,0,2,0,0,1.17,7.0,17.0,1.16,8.25,14.0
2024-08-05,20:00,St Johnstone,Aberdeen,1,2,A,0,1,A,K Clancy,18,21,8,10,11,13,12,7,2,1,0,0,3.1,3.1,2.38,2.85,3.3,2.35
2024-08-10,15:00,Rangers,Motherwell,2,1,H,2,1,H,K Clancy,19,7,9,1,9,8,6,4,2,0,0,0,1.2,7.0,11.0,1.21,6.75,12.0
2024-08-10,15:00,Ross County,Dundee United,1,1,D,0,0,D,C Napier,21,12,5,2,11,13,7,5,1,2,0,0,2.55,3.25,2.75,2.5,3.3,2.7
2024-08-10,17:30,Dundee,Hearts,3,1,H,3,0,H,D Robertson,11,14,6,3,8,12,2,10,3,4,0,0,3.2,3.4,2.2,3.0,3.5,2.15
2024-08-11,12:30,Hibernian,Celtic,0,2,A,0,2,A,N Walsh,4,19,0,7,11,10,3,5,2,1,0,0,9.0,5.0,1.33,7.25,5.0,1.36
2024-08-11,15:00,Aberdeen,St Mirren,3,1,H,1,1,D,G Irvine,11,10,3,5,15,14,6,2,2,3,0,0,1.95,3.5,3.75,1.93,3.3,3.9
2024-08-11,15:00,Kilmarnock,St Johnstone,0,3,A,0,2,A,C Graham,14,12,2,7,14,14,4,4,3,4,1,0,1.73,3.75,4.5,1.75,3.5,4.6
2024-08-24,15:00,Dundee United,St Johnstone,2,0,H,0,0,D,D Robertson,3,10,2,1,14,11,2,6,2,2,0,1,1.9,3.7,3.75,1.93,3.5,3.7
2024-08-24,15:00,Hibernian,Dundee,2,2,D,1,1,D,C Steven,13,9,2,5,14,15,5,4,4,4,0,0,2.1,3.5,3.3,2.0,3.6,3.3
2024-08-24,15:00,Rangers,Ross County,6,0,H,2,0,H,R Hardie,17,4,9,2,10,12,5,0,1,3,0,0,1.18,7.0,13.0,1.19,7.25,12.0
2024-08-25,12:00,St Mirren,Celtic,0,3,A,0,2,A,C Graham,3,21,1,8,12,7,2,10,2,1,0,0,8.5,6.0,1.29,9.25,5.75,1.28
2024-08-25,15:00,Aberdeen,Kilmarnock,2,0,H,1,0,H,M MacDermid,12,7,3,2,14,12,8,6,3,0,0,1,1.73,3.5,5.25,1.78,3.6,4.33
2024-08-25,15:00,Motherwell,Hearts,3,1,H,1,0,H,J Beaton,14,9,6,3,8,17,8,7,1,4,0,0,2.8,3.4,2.4,2.9,3.5,2.25
2024-08-31,15:00,Dundee,St Mirren,2,2,D,1,2,A,L Wilson,14,14,5,6,9,16,6,1,2,4,0,0,2.1,3.4,3.4,2.1,3.4,3.3
2024-08-31,15:00,St Johnstone,Motherwell,1,2,A,0,1,A,I Snedden,13,14,5,6,12,11,4,13,1,0,1,0,2.75,3.6,2.38,2.8,3.3,2.4
2024-08-31,17:45,Ross County,Aberdeen,0,1,A,0,0,D,E Anderson,8,9,4,3,11,13,1,12,3,1,0,0,3.7,3.6,1.95,3.5,3.6,1.95
2024-09-01,12:30,Celtic,Rangers,3,0,H,2,0,H,J Beaton,14,13,4,4,12,11,7,4,4,5,0,0,1.62,4.2,5.0,1.63,4.33,4.4
2024-09-01,15:00,Hearts,Dundee United,0,1,A,0,0,D,N Walsh,14,12,2,3,15,6,6,4,2,4,0,0,1.8,3.9,4.0,1.82,3.8,3.8
2024-09-01,15:00,Kilmarnock,Hibernian,1,1,D,0,0,D,C Scott,14,9,3,4,10,17,4,7,2,3,0,0,2.8,3.2,2.55,2.55,3.3,2.6
2024-09-14,15:00,Aberdeen,Motherwell,2,1,H,1,0,H,C Graham,11,13,4,4,14,16,6,5,4,5,0,0,1.67,3.75,5.0,1.68,3.75,4.8
2024-09-14,15:00,Celtic,Hearts,2,0,H,0,0,D,C Steven,18,7,6,3,9,11,5,3,1,1,0,0,1.17,8.0,12.0,1.18,7.75,12.0
2024-09-14,15:00,Hibernian,St Johnstone,2,0,H,1,0,H,N Walsh,17,5,4,1,6,17,5,7,1,4,0,1,1.65,3.9,5.25,1.68,3.7,4.75
2024-09-14,15:00,Ross County,Dundee,2,0,H,2,0,H,G Irvine,9,8,5,3,13,12,3,8,2,1,0,0,2.8,3.6,2.3,2.7,3.5,2.4
2024-09-14,15:00,St Mirren,Kilmarnock,2,2,D,2,1,H,M MacDermid,14,11,2,3,15,9,3,10,2,3,0,1,2.2,3.5,3.1,2.25,3.2,3.1
2024-09-15,12:00,Dundee United,Rangers,0,1,A,0,1,A,D Robertson,5,11,0,6,11,13,4,4,4,6,0,0,7.0,4.5,1.44,6.75,4.75,1.41
2024-09-21,15:00,Ross County,St Johnstone,3,3,D,1,1,D,D McFarlane,14,8,6,3,13,15,1,3,2,4,0,0,2.05,3.5,3.5,2.05,3.3,3.5
2024-09-21,15:00,St Mirren,Hearts,2,1,H,2,1,H,D Robertson,11,9,2,2,14,9,5,4,3,3,0,0,2.8,3.4,2.45,2.8,3.4,2.35
2024-09-28,15:00,Dundee,Aberdeen,1,2,A,1,2,A,C Scott,14,8,6,2,6,8,10,4,0,3,0,0,2.8,3.8,2.25,3.0,3.3,2.25
2024-09-28,15:00,Hearts,Ross County,1,1,D,0,1,A,I Snedden,21,13,8,2,8,8,11,5,1,4,0,0,1.65,4.0,4.75,1.68,3.7,4.8
2024-09-28,15:00,Kilmarnock,Dundee United,3,3,D,0,1,A,C Napier,15,19,3,8,8,12,7,3,1,2,0,0,2.3,3.25,3.1,2.3,3.2,3.1
2024-09-28,15:00,Motherwell,St Mirren,2,1,H,2,1,H,L Wilson,9,15,4,9,12,13,9,6,4,2,1,1,2.38,3.3,2.88,2.37,3.25,2.85
2024-09-28,17:45,St Johnstone,Celtic,0,6,A,0,3,A,D Robertson,5,19,1,11,9,8,3,13,1,1,0,0,13.0,7.0,1.18,13.0,7.25,1.19
2024-09-29,12:00,Rangers,Hibernian,1,0,H,1,0,H,N Walsh,18,18,4,3,11,12,4,7,2,2,0,0,1.36,5.0,7.5,1.38,5.0,7.0
2024-10-05,15:00,Dundee,Kilmarnock,2,3,A,1,0,H,G Irvine,10,25,3,5,13,9,2,10,1,1,1,0,2.25,3.6,3.0,2.2,3.4,3.0
2024-10-05,15:00,Hibernian,Motherwell,1,2,A,0,0,D,M MacDermid,17,11,7,5,18,6,10,5,3,3,1,0,2.0,3.5,3.6,2.05,3.5,3.4
2024-10-05,15:00,St Mirren,Dundee United,0,1,A,0,0,D,R Hardie,16,12,3,3,4,6,3,3,0,3,0,0,2.3,3.3,3.1,2.3,3.2,3.1
2024-10-06,12:00,Ross County,Celtic,1,2,A,1,0,H,K Clancy,8,23,5,6,11,11,1,9,3,1,0,0,13.0,8.0,1.17,13.5,7.5,1.17
2024-10-06,15:00,Aberdeen,Hearts,3,2,H,1,1,D,A Beaton,11,11,3,3,8,17,2,5,1,4,0,1,1.67,4.0,4.75,1.66,3.75,4.8
2024-10-06,20:00,Rangers,St Johnstone,2,0,H,1,0,H,D Dickinson,21,10,6,2,22,12,7,3,1,1,0,0,1.14,8.5,15.0,1.14,9.0,15.5
2024-05-19,15:00,Livingston,Hibernian,1,1,D,0,0,D,D Munro,4,13,2,3,6,8,4,9,0,1,0,0,4.0,3.8,1.8,4.1,3.7,1.78
2024-05-19,15:00,Motherwell,St Johnstone,1,2,A,0,2,A,C Steven,13,9,5,4,7,9,7,3,0,1,0,0,2.4,3.4,2.8,2.35,3.4,2.8
2024-05-19,15:00,Ross County,Aberdeen,2,2,D,1,1,D,C Graham,15,11,6,4,14,10,3,7,4,1,0,1,2.5,3.9,2.45,2.55,3.5,2.5
